lat,lon,time,spatial_ref,precipitation
32.95,-120.95,2017-02-01 00:00:00,0,0.0
32.95,-120.85,2017-02-01 00:00:00,0,0.0
32.95,-120.75,2017-02-01 00:00:00,0,0.0
32.95,-120.649994,2017-02-01 00:00:00,0,0.0
32.95,-120.549995,2017-02-01 00:00:00,0,0.0
32.95,-120.45,2017-02-01 00:00:00,0,0.0
32.95,-120.35,2017-02-01 00:00:00,0,0.0
32.95,-120.25,2017-02-01 00:00:00,0,0.0
32.95,-120.149994,2017-02-01 00:00:00,0,0.0
32.95,-120.049995,2017-02-01 00:00:00,0,0.0
32.95,-119.95,2017-02-01 00:00:00,0,0.0
32.95,-119.85,2017-02-01 00:00:00,0,0.0
32.95,-119.75,2017-02-01 00:00:00,0,0.0
32.95,-119.649994,2017-02-01 00:00:00,0,0.0
32.95,-119.549995,2017-02-01 00:00:00,0,0.0
32.95,-119.45,2017-02-01 00:00:00,0,0.0
32.95,-119.35,2017-02-01 00:00:00,0,0.0
32.95,-119.25,2017-02-01 00:00:00,0,0.0
32.95,-119.149994,2017-02-01 00:00:00,0,0.0
32.95,-119.049995,2017-02-01 00:00:00,0,0.0
32.95,-118.95,2017-02-01 00:00:00,0,0.0
32.95,-118.85,2017-02-01 00:00:00,0,0.0
32.95,-118.75,2017-02-01 00:00:00,0,0.0
32.95,-118.649994,2017-02-01 00:00:00,0,0.0
32.95,-118.549995,2017-02-01 00:00:00,0,0.284
32.95,-118.45,2017-02-01 00:00:00,0,0.0
32.95,-118.35,2017-02-01 00:00:00,0,0.0
32.95,-118.25,2017-02-01 00:00:00,0,0.0
32.95,-118.149994,2017-02-01 00:00:00,0,0.0
32.95,-118.049995,2017-02-01 00:00:00,0,0.0
32.95,-117.95,2017-02-01 00:00:00,0,0.0
32.95,-117.85,2017-02-01 00:00:00,0,0.0
32.95,-117.75,2017-02-01 00:00:00,0,0.0
32.95,-117.649994,2017-02-01 00:00:00,0,0.0
32.95,-117.549995,2017-02-01 00:00:00,0,0.0
32.95,-117.45,2017-02-01 00:00:00,0,0.0
32.95,-117.35,2017-02-01 00:00:00,0,0.0
32.95,-117.25,2017-02-01 00:00:00,0,0.16600001
32.95,-117.149994,2017-02-01 00:00:00,0,0.157
